,time,status
0,0.0,unsure
1,0.05,unsure
2,0.1,unsure
3,0.15,unsure
4,0.2,unsure
5,0.25,unsure
6,0.3,unsure
7,0.35,unsure
8,0.4,unsure
9,0.45,unsure
10,0.5,unsure
11,0.55,unsure
12,0.6,unsure
13,0.65,unsure
14,0.7,unsure
15,0.75,unsure
16,0.8,unsure
17,0.85,unsure
18,0.9,unsure
19,0.95,unsure
20,1.0,unsure
21,1.05,unsure
22,1.1,unsure
23,1.15,unsure
24,1.2,unsure
25,1.25,unsure
26,1.3,unsure
27,1.35,unsure
28,1.4,unsure
29,1.45,unsure
30,1.5,unsure
31,1.55,unsure
32,1.6,unsure
33,1.65,unsure
34,1.7,unsure
35,1.75,unsure
36,1.8,unsure
37,1.85,red
38,1.9,red
39,1.95,red
40,2.0,red
41,2.05,red
42,2.1,red
43,2.15,red
44,2.2,red
45,2.25,red
46,2.3,red
47,2.35,red
48,2.4,red
49,2.45,red
50,2.5,red
51,2.55,red
52,2.6,red
53,2.65,red
54,2.7,red
55,2.75,red
56,2.8,red
57,2.85,red
58,2.9,red
59,2.95,red
60,3.0,red
61,3.05,red
62,3.1,red
63,3.15,red
64,3.2,red
65,3.25,red
66,3.3,red
67,3.35,red
68,3.4,red
69,3.45,red
70,3.5,red
71,3.55,red
72,3.6,red
73,3.65,red
74,3.7,red
75,3.75,red
76,3.8,red
77,3.85,red
78,3.9,red
79,3.95,red
80,4.0,red
81,4.05,red
82,4.1,red
83,4.15,red
84,4.2,red
85,4.25,red
86,4.3,red
87,4.35,red
88,4.4,red
89,4.45,red
90,4.5,red
91,4.55,red
92,4.6,red
93,4.65,red
94,4.7,red
95,4.75,red
96,4.8,red
97,4.85,red
98,4.9,red
99,4.95,red
100,5.0,red
101,5.05,red
102,5.1,red
103,5.15,red
104,5.2,red
105,5.25,red
106,5.3,red
107,5.35,red
108,5.4,red
109,5.45,red
110,5.5,red
111,5.55,red
112,5.6,red
113,5.65,red
114,5.7,red
115,5.75,red
116,5.8,red
117,5.85,red
118,5.9,red
119,5.95,red
120,6.0,red
121,6.05,red
122,6.1,red
123,6.15,red
124,6.2,red
125,6.25,red
126,6.3,red
127,6.35,red
128,6.4,red
129,6.45,red
130,6.5,red
131,6.55,red
132,6.6,red
133,6.65,red
134,6.7,red
135,6.75,red
136,6.8,red
137,6.85,red
138,6.9,red
139,6.95,red
140,7.0,red
141,7.05,red
142,7.1,red
143,7.15,red
144,7.2,red
145,7.25,red
146,7.3,red
147,7.35,red
148,7.4,red
149,7.45,red
150,7.5,red
151,7.55,red
152,7.6,red
153,7.65,red
154,7.7,red
155,7.75,red
156,7.8,red
157,7.85,red
158,7.9,red
159,7.95,red
160,8.0,red
161,8.05,red
162,8.1,red
163,8.15,red
164,8.2,red
165,8.25,red
166,8.3,red
167,8.35,red
168,8.4,red
169,8.45,red
170,8.5,red
171,8.55,red
172,8.6,red
173,8.65,unsure
174,8.7,unsure
175,8.75,unsure
176,8.8,unsure
177,8.85,unsure
178,8.9,unsure
179,8.95,green
180,9.0,green
181,9.05,green
182,9.1,green
183,9.15,green
184,9.2,green
185,9.25,green
186,9.3,green
187,9.35,green
188,9.4,green
189,9.45,green
190,9.5,green
191,9.55,green
192,9.6,green
193,9.65,green
194,9.7,green
195,9.75,green
196,9.8,green
197,9.85,green
198,9.9,green
199,9.95,green
200,10.0,green
201,10.05,green
202,10.1,green
203,10.15,green
204,10.2,green
205,10.25,green
206,10.3,green
207,10.35,green
208,10.4,green
209,10.45,green
210,10.5,green
211,10.55,green
212,10.6,green
213,10.65,green
214,10.7,green
215,10.75,green
216,10.8,green
217,10.85,green
218,10.9,green
219,10.95,green
220,11.0,green
221,11.05,green
222,11.1,green
223,11.15,green
224,11.2,green
225,11.25,green
226,11.3,unsure
227,11.35,unsure
228,11.4,unsure
229,11.45,unsure
230,11.5,unsure
231,11.55,unsure
232,11.6,unsure
233,11.65,unsure
234,11.7,unsure
235,11.75,unsure
236,11.8,unsure
237,11.85,green
238,11.9,green
